Jerarquía;Descripción;esHoja;Puntuación
1;Documento;false;0
1.2;Documento > Párrafos;false;0
1.3;Documento > FootNotes;false;0
1.4;Documento > PageSetup;false;0
1.5;Documento > Sections;false;0
1.6;Documento > Tables;true;0
1.2.7;Documento > Párrafos > Párrafo;false;0
1.2.7.8;Documento > Párrafos > Párrafo > Alineación;true;1
1.2.7.9;Documento > Párrafos > Párrafo > Letra capital;false;0
1.2.7.10;Documento > Párrafos > Párrafo > Sang. 1ª línea;true;0
1.2.7.11;Documento > Párrafos > Párrafo > KeepTogether;true;1
1.2.7.12;Documento > Párrafos > Párrafo > KeepWithNext;true;1
1.2.7.13;Documento > Párrafos > Párrafo > Sang. izq.;true;0
1.2.7.14;Documento > Párrafos > Párrafo > Interlineado;true;0
1.2.7.15;Documento > Párrafos > Párrafo > Interlineado;true;0
1.2.7.16;Documento > Párrafos > Párrafo > SpaceAfter;true;0
1.2.7.17;Documento > Párrafos > Párrafo > SpaceBefore;true;0
1.2.7.18;Documento > Párrafos > Párrafo > OutlineLevel;true;1
1.2.7.19;Documento > Párrafos > Párrafo > PageBreakBefore;true;1
1.2.7.20;Documento > Párrafos > Párrafo > Sang. dcha.;true;0
1.2.7.21;Documento > Párrafos > Párrafo > TabStops;false;0
1.2.7.22;Documento > Párrafos > Párrafo > WidowControl;true;1
1.2.7.23;Documento > Párrafos > Párrafo > Range;false;0
1.2.7.24;Documento > Párrafos > Párrafo > División automática de palabras;true;1
1.2.7.25;Documento > Párrafos > Párrafo > Rango-Prop. espec. párrafo;false;0
1.2.7.9.26;Documento > Párrafos > Párrafo > Letra capital > Dist. desde  texto;true;1
1.2.7.9.27;Documento > Párrafos > Párrafo > Letra capital > Fuente;true;0
1.2.7.9.28;Documento > Párrafos > Párrafo > Letra capital > Lín. Ocupadas;true;1
1.2.7.9.29;Documento > Párrafos > Párrafo > Letra capital > Posición;true;1
1.2.7.21.30;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.7.21.31;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.7.21.32;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.7.21.33;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
1.2.7.21.34;Documento > Párrafos > Párrafo > TabStops > Tabulación;false;0
